Bankrupt,ROA(C) before interest and depreciation before interest,ROA(A) before interest and % after tax,ROA(B) before interest and depreciation after tax,Operating Gross Margin,Realized Sales Gross Margin,Operating Profit Rate,Pre-tax net Interest Rate,After-tax net Interest Rate,Non-industry income and expenditure/revenue,Continuous interest rate (after tax),Operating Expense Rate,Research and development expense rate,Cash flow rate,Interest-bearing debt interest rate,Tax rate (A),Operating Profit Per Share (Yuan ??),Total Asset Growth Rate,Total debt/Total net worth,Debt ratio %,Current Liability to Current Assets
0,0.444401111,0.549716529,0.498956047,0.623711786,0.623711786,0.998975327,0.79744286,0.80938913,0.303604528,0.781373202,0.000476654,1210000000,0.465490719,0.00070307,0,0.096001954,5730000000,0.004292397,0.094385827,0.033711602
0,0.491151952,0.551569996,0.543390974,0.608130702,0.608137909,0.999044887,0.797428887,0.809344342,0.303434856,0.781609132,0.00015715,0,0.464100048,0.000576058,0.185241421,0.104877453,7220000000,0.008734349,0.144662454,0.04351399
0,0.474040852,0.533307894,0.523689705,0.600577985,0.600577985,0.998967008,0.797368294,0.809299293,0.303491655,0.781550887,0.000113786,917000000,0.467198443,0.000709071,0,0.096001954,6160000000,0.005155072,0.10656952,0.028901672
0,0.506703066,0.575828609,0.569837786,0.604685856,0.604685856,0.999052975,0.797513967,0.809456311,0.30356634,0.781709624,9370000000,0,0.478766681,0.000910091,0,0.103167495,723000000,0.003983257,0.089639326,0.015553133
0,0.513820504,0.571085914,0.558755822,0.621773159,0.621773159,0.999096883,0.797506773,0.809395509,0.303461926,0.781652501,0.000323782,79800000,0.472093472,0.000479048,0.258730641,0.110333035,830000000,0.004611569,0.099071863,0.025812849
0,0.488909472,0.56023768,0.540285883,0.606523588,0.606523588,0.998996472,0.797877249,0.809761103,0.304319474,0.781933905,0.000179815,849000000,0.462196053,0.000523052,0.029456423,0.095757674,7030000000,0.002397432,0.061281253,0.04629123
0,0.53595281,0.59043829,0.580919749,0.618450828,0.618450828,0.999118837,0.797588255,0.809460738,0.303558606,0.781726606,0.000248734,0,0.470061985,0.000637064,0.217430914,0.114160085,6960000000,0.003323941,0.078725398,0.018156638
0,0.504070589,0.55980157,0.55864875,0.598343879,0.598343879,0.998988615,0.79741201,0.809334056,0.303522834,0.781587939,5630000000,119000000,0.46844317,0.000619062,0.09555623,0.102108949,6340000000,0.008354991,0.141336881,0.040083663
0,0.487398235,0.543720017,0.533647412,0.63625881,0.636251604,0.999041651,0.797443551,0.809340436,0.303467002,0.781598606,0.00061137,0,0.465163601,0.000550055,0.441643891,0.102760362,6250000000,0.003253723,0.077485866,0.021936861
0,0.485253254,0.545573485,0.534664597,0.622176739,0.622256014,0.999065454,0.797521714,0.809405795,0.303553772,0.781654326,0.000363099,1040000000,0.488241363,0,0.261058812,0.101213256,6460000000,0.004424625,0.096350939,0.010940728
0,0.504558085,0.564489751,0.553027464,0.607446057,0.607446057,0.999029981,0.797465824,0.809370902,0.303530569,0.781629343,0.000160966,1190000000,0.470644087,0.000775078,0.208928029,0.107401677,6560000000,0.004728294,0.100734649,0.018612943
0,0.51201677,0.563672045,0.569034745,0.618933683,0.618933683,0.999058637,0.797444381,0.809367126,0.303432922,0.781624852,0.000316613,0,0.470652475,0.000753075,0.005567365,0.110007328,5750000000,0.008955945,0.146506636,0.040394784
0,0.49485692,0.54813563,0.540446491,0.6095072,0.6095072,0.999052397,0.797413255,0.80932312,0.303391592,0.781595659,0.00017172,0,0.464264446,0.000645065,0.417653609,0.109193062,6900000000,0.017036449,0.193034435,0.055242675
0,0.509969288,0.561382468,0.552599176,0.602956226,0.602956226,0.999024781,0.797417128,0.809331192,0.303456125,0.781591168,94100000,0,0.464603306,0.000762076,0.306913655,0.113834378,6140000000,0.017411248,0.194515827,0.050170651
0,0.444986106,0.50365242,0.495529739,0.611762925,0.611806166,0.998925064,0.797046237,0.808992679,0.303016717,0.78124857,0.000335924,1240000000,0.466873003,0.000739074,0,0.093884863,5490000000,0.008984215,0.146748496,0.04550392
0,0.519280456,0.563617532,0.568606456,0.626544055,0.626544055,0.999099309,0.797512168,0.8094028,0.303466277,0.781672712,0.000398021,900000000,0.471058437,0.000691069,0.231096265,0.108378797,6580000000,0.004138283,0.092057925,0.051481376
0,0.54740896,0.59305495,0.592483538,0.609737817,0.609737817,0.999111788,0.797571239,0.80944876,0.303543379,0.781699799,0.000115752,1440000000,0.495880828,0.001063106,0.213786821,0.111554434,6640000000,0.001275773,0.03609759,0.013393307
0,0.500853118,0.563944614,0.550564805,0.60202655,0.602293201,0.998982376,0.797502899,0.809400066,0.303694924,0.78163622,0.000125928,577000000,0.473888428,0.000822082,0.196376151,0.097141927,5980000000,0.003978698,0.089578861,0.018802183
1,0.416126359,0.470235499,0.463782858,0.599115006,0.599115006,0.998972554,0.797240882,0.809175866,0.30325769,0.7814285,8480000000,50900000,0.460246764,0.000842084,0,0.098526179,654000000,0.025951358,0.219608792,0.065815853
1,0.462194706,0.53603358,0.514427967,0.599987028,0.599987028,0.998908888,0.797290547,0.809222607,0.303477395,0.781367728,0.000162469,0,0.458983585,0.000943094,0,0.091930625,6430000000,0.030692419,0.228890165,0.12488271
0,0.476088334,0.54448321,0.529685743,0.618868822,0.618868822,0.999014036,0.79738033,0.809307105,0.303414553,0.781538255,0.000360208,1120000000,0.46320928,0.000827083,0,0.102434655,567000000,0.021491168,0.208241376,0.082666072
0,0.505874324,0.570704317,0.559826543,0.601168942,0.601176148,0.998999939,0.797439539,0.809358533,0.303547246,0.78161994,9040000000,67900000,0.464459039,0.000672067,0.077032088,0.103248921,6960000000,0.005973062,0.116848565,0.033441832
0,0.486374494,0.544755778,0.540500027,0.603475115,0.603475115,0.998943552,0.797414915,0.809338353,0.303621931,0.781598466,0.000183746,0,0.465754091,0.000728073,0.039983804,0.09323345,6760000000,0.002449411,0.06233939,0.025690359
0,0.494369424,0.550915831,0.548583971,0.599107799,0.599107799,0.998995317,0.79739278,0.809317651,0.303474978,0.78157615,6190000000,0,0.463652148,0.000686069,0.093835408,0.108215943,6140000000,0.006609581,0.124104363,0.027009776
0,0.475162092,0.564544265,0.525028106,0.614278096,0.614278096,0.998973363,0.797519777,0.809443813,0.303743022,0.781551448,0.000327251,1380000000,0.466757253,0.00059606,0,0.096083381,751000000,0.006472793,0.122622971,0.043569973
0,0.462925949,0.516354121,0.51710477,0.622702835,0.622529872,0.998997397,0.797245033,0.809190188,0.303212493,0.781472009,0.000435487,1090000000,0.463940683,0.000588059,0,0.097141927,7460000000,0.008127012,0.139281071,0.047146168
0,0.478915809,0.541321413,0.529310991,0.607042477,0.607006443,0.999017386,0.797403986,0.809317131,0.303448633,0.781569974,0.000166517,0,0.463568271,0.000612061,0.544893208,0.100806123,6180000000,0.009039842,0.147201983,0.030711116
0,0.481060791,0.539467946,0.530863537,0.60088067,0.60088067,0.998975443,0.797387938,0.809315698,0.303508332,0.781572641,0.000110202,849000000,0.467552402,0.000793079,0,0.096897647,6050000000,0.004358967,0.095383499,0.015303614
0,0.486228246,0.548026603,0.544140479,0.598444774,0.598444774,0.998953142,0.797404401,0.8093433,0.303583742,0.781533062,9340000000,0,0.471709318,0.00079708,0,0.094617702,5990000000,0.003403277,0.08008586,0.017390013
0,0.507824307,0.571631051,0.549226404,0.625326107,0.625326107,0.999135707,0.797541635,0.809413346,0.303441623,0.78163608,0.000342053,1040000000,0.469151087,0.000494049,0.302560988,0.113671525,7940000000,0.006145414,0.118874142,0.034282255
0,0.48915322,0.562690798,0.541517212,0.604411998,0.604411998,0.998970821,0.797896063,0.8097986,0.30440576,0.781950186,0.000171489,968000000,0.461857192,0.000560056,0,0.095350541,7220000000,0.002790469,0.06902077,0.052989493
0,0.511188027,0.566888356,0.559077038,0.61817697,0.61817697,0.999077471,0.797521852,0.80940918,0.303528877,0.781676501,0.000285622,0,0.46673209,0.000593059,0.235752607,0.107238824,6770000000,0.003795402,0.08664631,0.025041042
0,0.523034173,0.575883123,0.576422721,0.600347367,0.600347367,0.999027208,0.797446595,0.809361918,0.303502531,0.781621624,4980000000,119000000,0.466916618,0.000654065,0.122178358,0.11212442,6830000000,0.007982929,0.137981074,0.047820571
0,0.508848048,0.553423463,0.552920392,0.635718301,0.635718301,0.999062103,0.797481041,0.809365173,0.303489721,0.781655308,0.000582461,0,0.468025465,0.000566057,0.390120458,0.105040306,7160000000,0.004079009,0.091150951,0.027989221
0,0.488958222,0.54900785,0.538947481,0.624317156,0.624288329,0.999098154,0.797546753,0.809430142,0.303528877,0.781683238,0.000362867,1100000000,0.487182842,0,0.216621115,0.102678935,6440000000,0.004282366,0.094234665,0.013788045
0,0.502120606,0.563508504,0.545853632,0.608865795,0.608865795,0.999048353,0.797465409,0.809363741,0.303491172,0.781610396,0.00016536,107000000,0.468696476,0.001071107,0.29588015,0.112042993,6720000000,0.004653517,0.099676512,0.017567908
0,0.523082923,0.563344963,0.57235398,0.620944378,0.620944378,0.999101736,0.797474816,0.809371162,0.303395701,0.781642255,0.000305627,0,0.471281548,0.000750075,0.281000101,0.116684309,6430000000,0.008422473,0.14194153,0.040686295
0,0.493345683,0.550534235,0.539804058,0.610206258,0.610206258,0.999022817,0.79742861,0.809341217,0.303480295,0.781601694,0.000212424,0,0.460268572,0.000655066,0.250126531,0.104144614,7210000000,0.0192287,0.201106509,0.05379309
0,0.505630576,0.559747056,0.549172868,0.60456334,0.60456334,0.99903079,0.797414638,0.809331582,0.303439448,0.781582887,0.000114018,815000000,0.463714216,0.00080108,0.244255491,0.11139158,6000000000,0.015091329,0.184660036,0.051783386
0,0.469555891,0.527202355,0.522511912,0.619402125,0.61952464,0.999045118,0.797269934,0.809203208,0.30315666,0.781507378,0.000339624,165000000,0.464326514,0.000676068,0,0.098281899,6400000000,0.009931697,0.15421592,0.071173171
0,0.523716667,0.56154601,0.568178168,0.626414333,0.626414333,0.999133049,0.79752614,0.80939616,0.303420112,0.781671027,0.000362173,866000000,0.471050049,0.00079808,0.353983197,0.111147301,6410000000,0.004109102,0.091604438,0.057507852
0,0.521912933,0.564871348,0.568178168,0.609290996,0.609240548,0.999097923,0.797498196,0.809386656,0.303444765,0.781644361,0.000121765,1770000000,0.468896102,0.000943094,0.285453993,0.108134517,7480000000,0.00194968,0.051848717,0.019789517
0,0.503193097,0.559692543,0.550671878,0.603590424,0.603071535,0.999001441,0.797512721,0.809397983,0.303671721,0.781659519,0.000119337,475000000,0.467102824,0.000852085,0.27320579,0.098526179,7060000000,0.00426048,0.093902107,0.027016807
1,0.453029786,0.516572176,0.505594518,0.596945762,0.596952968,0.99893997,0.797084143,0.80903955,0.303051763,0.781277061,8270000000,0,0.462243024,0.000726073,0,0.094129143,5960000000,0.022234381,0.21035765,0.086458323
1,0.472090869,0.538813781,0.517051234,0.597392583,0.597392583,0.998960422,0.797365942,0.80929031,0.303501323,0.781515799,693000000,136000000,0.461377419,0.000558056,0,0.095187688,5470000000,0.034784195,0.235299453,0.09480622
1,0.066933164,0.057184911,0.054820922,0.601860794,0.601860794,0.998824769,0.79677924,0.80871666,0.302759791,0.780926604,0.000276602,115000000,0.458263926,0.00039904,0,0.066199821,7230000000,0.126572374,0.321371346,0.065285749
1,0.406668942,0.467291758,0.453450399,0.595994465,0.595994465,0.998830778,0.797190527,0.809128475,0.303466035,0.781353132,0.000176577,0,0.459605949,0.000582058,0,0.069864018,4670000000,0.026809473,0.221452973,0.083357788
0,0.48223078,0.544319669,0.536431286,0.618083282,0.618083282,0.999003636,0.797388768,0.809315047,0.303450808,0.781574045,0.000358011,1240000000,0.462571819,0.000708071,0,0.100806123,6170000000,0.019753965,0.202859993,0.065772709
0,0.488519475,0.550152638,0.540339419,0.600736534,0.600758154,0.998996588,0.797409381,0.80932976,0.303501565,0.78158808,8720000000,67900000,0.462898937,0.000356036,0.170968722,0.105610292,6320000000,0.008377789,0.141548508,0.041568851
0,0.476478331,0.533416921,0.527811981,0.604635408,0.604635408,0.998959959,0.797393334,0.809313094,0.303550146,0.781571238,0.000185943,0,0.467257157,0.000408041,0.495191821,0.095106262,6140000000,0.001502841,0.041630136,0.015794181
0,0.488129479,0.518916267,0.547459714,0.597947506,0.597947506,0.998973941,0.797359994,0.809292133,0.303462651,0.781577834,6450000000,0,0.46743162,0.000476048,0,0.099747578,5910000000,0.006455466,0.122411343,0.019877914
0,0.469165895,0.547863061,0.516141121,0.61047291,0.61047291,0.99898122,0.797447286,0.80936296,0.303599936,0.781508501,0.000258332,1430000000,0.467738607,0.000433043,0.109120356,0.096653367,6010000000,0.005920171,0.116213683,0.040150421
0,0.48227953,0.552932839,0.540125274,0.619048992,0.619020165,0.999049393,0.797417128,0.809357362,0.303404643,0.781598746,0.000327251,679000000,0.462227926,0.000594059,0,0.102027522,67600000,0.009655386,0.152099646,0.044582633
0,0.464193438,0.526766245,0.5150704,0.605932631,0.605874977,0.998981682,0.797349203,0.809271952,0.303427363,0.781527027,0.000183978,0,0.460946294,0.000353035,0,0.097386206,652000000,0.010507118,0.158388004,0.045108807
0,0.475893336,0.540558221,0.52877563,0.600736534,0.600736534,0.998974172,0.797399836,0.80932364,0.303531777,0.78157601,0.000109045,764000000,0.464433876,0.000380038,0.097884401,0.096897647,6520000000,0.004716439,0.100553255,0.015501967
0,0.473504607,0.514500654,0.52797259,0.595122443,0.595122443,0.998914665,0.797293175,0.809229638,0.303469902,0.781479869,7860000000,0,0.461806866,0.000428043,0,0.092012051,6340000000,0.003744335,0.0857998,0.028551561
0,0.503534344,0.5539686,0.551474918,0.620396662,0.620396662,0.999079897,0.797471081,0.809367517,0.303435339,0.78164015,0.00031881,1170000000,0.46920309,0.000231023,0.294867902,0.108623076,6490000000,0.005680336,0.113311364,0.021639194
0,0.478330815,0.545900567,0.53027464,0.604102106,0.604102106,0.998996935,0.797609006,0.809525707,0.303849611,0.781771379,0.000140498,1170000000,0.461714602,0.000314031,0,0.095839101,6250000000,0.002603525,0.065423104,0.038189267
0,0.496368157,0.549062364,0.545532416,0.61242595,0.612397123,0.99903391,0.797430962,0.809338613,0.303461201,0.781597904,0.000236477,79800000,0.467585952,0.000382038,0.341937443,0.108215943,7690000000,0.008206349,0.140006651,0.02377858
0,0.544825233,0.588148713,0.589217838,0.600635639,0.600635639,0.999038647,0.797468868,0.809370902,0.303517275,0.781634396,4300000000,84900000,0.471675767,0.000339034,0.236157506,0.119127107,6090000000,0.004876025,0.102790459,0.033278508
0,0.520060449,0.56972307,0.563092243,0.636784906,0.636784906,0.999083826,0.797521575,0.80940241,0.3035151,0.781668361,0.00057772,0,0.472212576,0.000439044,0.285858893,0.109274489,6490000000,0.003519091,0.082081204,0.025423652
0,0.488811973,0.546391191,0.537769688,0.623985644,0.623906369,0.999043038,0.797556852,0.809427017,0.303661811,0.781682255,0.000412013,1580000000,0.485862627,0,0.281101326,0.099177591,6510000000,0.004571444,0.098497445,0.017516192
0,0.532394092,0.580680331,0.574281278,0.608865795,0.608865795,0.999072271,0.797506634,0.809394598,0.303513166,0.781671027,0.000141423,985000000,0.468478398,0.000313031,0.265816378,0.118964254,6880000000,0.004277807,0.0941742,0.013881632
0,0.525032906,0.566397732,0.576369185,0.619330057,0.619330057,0.99906557,0.797491279,0.809392124,0.303500598,0.781660501,0.000316035,0,0.468595825,0.000448045,0.187974491,0.110251608,6440000000,0.007071923,0.129032258,0.0453153
0,0.489543216,0.54726341,0.535895926,0.607539745,0.607539745,0.999009067,0.79741616,0.809328588,0.303487304,0.781589483,0.000183399,0,0.460344061,0.000554055,0.362992206,0.103574627,6560000000,0.017978461,0.196662333,0.03833142
0,0.512553015,0.564816834,0.558862894,0.603900316,0.603900316,0.999034372,0.797439816,0.809355799,0.303475703,0.781617554,9960000000,0,0.462301737,0.000518052,0.130175119,0.113264392,6980000000,0.014541442,0.182060042,0.055803156
0,0.481938283,0.546990842,0.53611007,0.618811168,0.618767927,0.998938237,0.797437049,0.809360486,0.303671962,0.781626676,0.000434446,2950000000,0.461971264,0.000677068,0,0.094210569,6220000000,0.010265459,0.156664752,0.07886108
0,0.540145274,0.582315744,0.582579367,0.625599965,0.625599965,0.999143217,0.79760873,0.809465686,0.303543137,0.781733484,0.000338931,713000000,0.469864036,0.000429043,0.26500658,0.115625763,6370000000,0.003964107,0.089337002,0.039145257
0,0.523034173,0.563126908,0.570159002,0.607164992,0.607150579,0.999074813,0.797493492,0.809384443,0.303484887,0.781663869,0.000111358,1410000000,0.493434992,0.000550055,0.276343759,0.106261705,6260000000,0.001438094,0.040058046,0.00975795
0,0.505923073,0.56345399,0.552010279,0.602869744,0.602711195,0.99897163,0.797586595,0.809451885,0.303863388,0.781717624,0.000143389,560000000,0.471826745,0.000488049,0.257212268,0.095920528,7010000000,0.002941847,0.071862624,0.016984429
1,0.432749963,0.492749673,0.482092189,0.604015624,0.604015624,0.998895484,0.797289993,0.809221956,0.303504465,0.78147622,0.000240524,0,0.454234502,0.000587059,0,0.082810846,6840000000,0.015179785,0.185083291,0.043946134
0,0.480622045,0.487080244,0.534611061,0.617867078,0.617867078,0.999021893,0.797242266,0.809177038,0.30315666,0.78158022,0.000336271,1290000000,0.469852294,0.000314031,0,0.103493201,550000000,0.018686109,0.199232095,0.047479383
0,0.480085799,0.541593982,0.534611061,0.597904265,0.597904265,0.998972901,0.797389322,0.809316349,0.303516067,0.781579097,6490000000,102000000,0.465171989,0.000221022,0,0.099177591,5880000000,0.008085064,0.138918282,0.039735745
0,0.474674597,0.534779765,0.527811981,0.605291226,0.605291226,0.998967817,0.797391397,0.80931661,0.303530327,0.781574466,0.000188603,0,0.4702549,0.000709071,0.086243547,0.096001954,6590000000,0.001809245,0.048704538,0.014473292
0,0.464485936,0.524204099,0.520477542,0.596261116,0.596261116,0.998955453,0.797367187,0.809297731,0.303513891,0.781555518,5610000000,0,0.459959907,0.000286029,0,0.09323345,6890000000,0.009017044,0.147020588,0.031532452
0,0.489348218,0.552060619,0.53991113,0.606213696,0.606213696,0.998957302,0.797473156,0.809389911,0.303694924,0.781643799,0.000213928,1410000000,0.470748094,0.000164016,0.051827108,0.094943409,6510000000,0.007185913,0.130211325,0.042775646
0,0.47769707,0.541703009,0.53230901,0.619863359,0.620057943,0.999013111,0.797393334,0.80932312,0.303438965,0.781582325,0.000380213,900000000,0.46189913,0.000409041,0,0.099503298,7020000000,0.010689501,0.159688001,0.065233995
0,0.463169697,0.537232883,0.515016864,0.601550902,0.601608556,0.998944476,0.79739029,0.809314917,0.303576975,0.781538676,0.000152871,0,0.463492782,0.000237024,0.164591558,0.09323345,6330000000,0.010899242,0.161108928,0.034115333
0,0.4685809,0.52916485,0.522244231,0.598898802,0.598898802,0.998959844,0.797369816,0.809299033,0.303509299,0.78156436,9400000000,52600000,0.46497404,0.000225023,0,0.095106262,6570000000,0.005632005,0.112706715,0.016790119
0,0.476673329,0.512047536,0.531452433,0.592499171,0.592499171,0.998880347,0.79731614,0.809249688,0.303581567,0.781512009,7090000000,0,0.461352256,0.000265027,0,0.088103575,6290000000,0.004130076,0.091936995,0.031274126
0,0.521620436,0.575937636,0.566893303,0.620454316,0.620454316,0.999115486,0.797534026,0.809418815,0.303470385,0.78167987,0.000284003,985000000,0.474951981,0.000131013,0.229982792,0.11546291,6540000000,0.004976336,0.104181153,0.022905322
0,0.50514308,0.563126908,0.561432625,0.602783263,0.602783263,0.998981567,0.797889838,0.809784279,0.304372406,0.782308643,0.000134485,1850000000,0.46834084,0.000269027,0.004858791,0.095594821,6320000000,0.002297121,0.059255676,0.03500276
0,0.488616975,0.542956825,0.542213181,0.609672956,0.609687369,0.999004098,0.797407168,0.809329239,0.303481987,0.781590606,0.000222832,1410000000,0.471841843,0.000244024,0.124607754,0.103004641,5830000000,0.006716275,0.12528343,0.026094741
0,0.512991761,0.565961622,0.564162964,0.596780005,0.596780005,0.998991966,0.797417958,0.80933679,0.303526218,0.781595378,2790000000,50900000,0.481529571,0.00020202,0.162769511,0.108623076,5240000000,0.005469683,0.110681138,0.027936384
0,0.529859114,0.586022678,0.5799561,0.63760648,0.63760648,0.999098501,0.797548137,0.809442771,0.30353081,0.781709343,0.000576332,866000000,0.470897394,0.000181018,0.142322097,0.113182966,6530000000,0.004202117,0.093025365,0.032017075
0,0.474187101,0.53281727,0.524064457,0.620526384,0.620382248,0.99902559,0.797426397,0.809322729,0.303470627,0.781576992,0.000372928,1820000000,0.485916308,0.337732773,0.642980059,0.098200472,5410000000,0.001770033,0.047827796,0.015488317
0,0.496806903,0.570704317,0.543551582,0.602848124,0.602848124,0.999004907,0.7974578,0.809366215,0.303568757,0.781603939,0.000112283,781000000,0.459290573,0.000268027,0.191213686,0.106587411,5820000000,0.004098159,0.091453276,0.01468576
0,0.52688539,0.571522024,0.57181862,0.619575088,0.619567881,0.999092145,0.797536516,0.80941582,0.303523801,0.781672712,0.000293254,0,0.476042374,0.000153015,0.263285758,0.114485791,5820000000,0.006311383,0.120778789,0.040005462
0,0.484278263,0.548190144,0.53557471,0.605183125,0.605183125,0.998973825,0.79742031,0.809347206,0.303568274,0.781613483,0.000180855,441000000,0.462820093,0.000326033,0,0.097793339,6720000000,0.017745921,0.195815824,0.035018718
0,0.513820504,0.565416485,0.55864875,0.602682368,0.602682368,0.999017617,0.797446456,0.809357231,0.303522351,0.781618817,9690000000,0,0.464199022,0.00030303,0.195161454,0.110740168,5880000000,0.01087918,0.160987998,0.048467683
0,0.48340077,0.549607501,0.53760908,0.615928451,0.615921244,0.998878499,0.797508295,0.809426757,0.303921396,0.781685905,0.000448438,3310000000,0.460843965,0.000314031,0.006680838,0.091686345,6680000000,0.010638434,0.159325211,0.06634848
0,0.538439039,0.583296991,0.582579367,0.622919039,0.622919039,0.99912473,0.797580508,0.809451104,0.303532502,0.781720431,0.000314416,645000000,0.474440334,0.00040204,0.237473428,0.113752952,6450000000,0.00288622,0.070804487,0.030768726
0,0.502705601,0.55527693,0.55334868,0.605752461,0.605658773,0.999042576,0.797466654,0.809371683,0.303505432,0.781633694,0.000119684,2280000000,0.472068309,0.000272027,0.206498633,0.102271802,96900000,0.004141931,0.09211839,0.012010778
0,0.49602691,0.555494985,0.544889983,0.601089667,0.60090229,0.998949907,0.797558235,0.809436912,0.303859279,0.781703308,0.000136104,900000000,0.458341092,0.000249025,0.227350946,0.094617702,664000000,0.003478055,0.081385857,0.018274974
1,0.504363087,0.562254688,0.555329514,0.604858819,0.604858819,0.999059792,0.797438018,0.809347206,0.303419145,0.781607729,8960000000,2750000000,0.463858484,0.000984098,0.262273509,0.120837065,6820000000,0.016721838,0.19176467,0.048736567
1,0.470677132,0.5369058,0.523850313,0.597652027,0.597652027,0.999009645,0.79738614,0.809313225,0.303433406,0.781567167,2420000000,407000000,0.461558592,0.000744074,0,0.099503298,6610000000,0.017898212,0.196390241,0.078173593
0,0.496124409,0.582806367,0.559933615,0.607323542,0.607323542,0.999057135,0.797662406,0.809631036,0.303817223,0.781820221,0.000131826,679000000,0.466062756,0.000645065,0,0.104307467,7490000000,0.007624545,0.134564803,0.039598998
0,0.522741676,0.591419538,0.589271374,0.606120007,0.606120007,0.999064645,0.797605686,0.8095606,0.303702416,0.781837765,0.000104998,0,0.469666088,0.000671067,0,0.110333035,7030000000,0.007329084,0.131662485,0.040102735
0,0.446302345,0.53150894,0.499544944,0.595771055,0.595771055,0.998894906,0.797323748,0.809286013,0.303564648,0.781419518,0.000108814,0,0.463549818,0.000556056,0,0.092174904,739000000,0.00424589,0.09369048,0.041838666
0,0.438746161,0.50452464,0.497510573,0.595662953,0.595771055,0.998905999,0.79723438,0.809200213,0.303385307,0.781448992,97700000,0,0.461568657,0.00059706,0,0.088592134,6420000000,0.009139241,0.14801826,0.056694701
0,0.503241847,0.549171391,0.559505327,0.603893109,0.603893109,0.999001672,0.797421278,0.809345644,0.303511716,0.781612501,0.000132404,2390000000,0.463967523,0.00050305,0,0.100561843,7030000000,0.005845393,0.115336941,0.027984906
0,0.454199776,0.522732229,0.508913753,0.595064789,0.595064789,0.998916976,0.797331357,0.809274426,0.303531777,0.781525483,7540000000,0,0.467817451,0,0,0.091767771,5780000000,0.00093654,0.027360401,0.010435626
0,0.479354556,0.534834278,0.532951443,0.598574497,0.598574497,0.998970128,0.797391812,0.809317131,0.303526218,0.781579518,7860000000,0,0.476510405,0,0.071161049,0.096327661,643000000,0.001801038,0.048553375,0.013358818
0,0.550723931,0.582479285,0.586594571,0.604642615,0.604642615,0.999118837,0.797548552,0.809421158,0.303488996,0.781703589,2710000000,441000000,0.474609765,0.000530053,0.282518474,0.114404364,7170000000,0.002527836,0.063911479,0.02922454
0,0.501194365,0.541375927,0.545157664,0.60146442,0.60146442,0.998978909,0.797406476,0.809324682,0.303533469,0.781579097,0.000116099,985000000,0.472335036,0,0.285251544,0.098607605,5870000000,0.002391961,0.061190555,0.01885952
